151,[ 86. 133.  27.]
152,[ 85. 133.  30.]
153,[ 83. 134.  32.]
154,[ 82. 134.  35.]
155,[ 80. 134.  37.]
156,[ 79. 134.  39.]
157,[ 77. 134.  41.]
158,[ 76. 135.  44.]
159,[ 74. 135.  46.]
160,[ 73. 135.  48.]
161,[ 71. 135.  50.]
162,[ 70. 135.  52.]
163,[ 68. 135.  54.]
164,[ 67. 135.  56.]
165,[ 65. 135.  58.]
166,[ 64. 136.  60.]
167,[ 62. 136.  62.]
168,[ 61. 136.  64.]
169,[ 59. 136.  66.]
170,[ 58. 136.  68.]
171,[ 56. 136.  70.]
172,[ 54. 136.  72.]
173,[ 52. 136.  74.]
174,[ 51. 136.  75.]
175,[ 49. 136.  77.]
176,[ 47. 136.  79.]
177,[ 45. 136.  81.]
178,[ 44. 137.  83.]
179,[ 42. 137.  85.]
180,[ 40. 137.  87.]
181,[ 38. 137.  88.]
182,[ 35. 137.  90.]
183,[ 33. 137.  92.]
184,[ 31. 137.  94.]
185,[ 29. 137.  96.]
186,[ 26. 137.  98.]
187,[ 23. 137.  99.]
188,[ 20. 137. 101.]
189,[ 17. 137. 103.]
190,[ 13. 137. 105.]
191,[  9. 137. 106.]
192,[  4. 137. 108.]
193,[  0. 137. 110.]
194,[  0. 137. 112.]
195,[  0. 137. 113.]
196,[  0. 136. 115.]
197,[  0. 136. 117.]
198,[  0. 136. 119.]
199,[  0. 136. 120.]
200,[  0. 136. 122.]
201,[  0. 136. 124.]
202,[  0. 136. 125.]
203,[  0. 136. 127.]
204,[  0. 136. 129.]
205,[  0. 136. 130.]
206,[  0. 136. 132.]
207,[  0. 136. 133.]
208,[  0. 135. 135.]
209,[  0. 135. 136.]
210,[  0. 135. 138.]
211,[  0. 135. 140.]
212,[  0. 135. 141.]
213,[  0. 135. 143.]
214,[  0. 135. 144.]
215,[  0. 134. 145.]
216,[  0. 134. 147.]
217,[  0. 134. 148.]
218,[  0. 134. 150.]
219,[  0. 134. 151.]
220,[  0. 133. 153.]
221,[  0. 133. 154.]
222,[  0. 133. 155.]
